title,description,category,category_label,priority,outcome,confidence,resolution_hours
"Road Damage issue in the area","There is a large pothole on the main road causing accidents for two-wheelers and cars.",road_damage,Road Damage,high,accepted,0.89,24
"Garbage complaint at near market","Garbage is piling up near the bus stop and the smell is spreading across the area.",garbage,Garbage Collection,medium,accepted,0.85,18
"Street Light issue in the locality","The street light near the park is not working and the area is very dark at night.",street_light,Street Light,medium,accepted,0.88,12
"Water Supply issue in the neighborhood","Water is leaking from the pipeline near the house and flooding the street.",water_supply,Water Supply,high,needs_review,0.8,36
"Drainage complaint at near school","The drainage line near the lane is blocked and rainwater stays stagnant.",drainage,Drainage,high,accepted,0.91,48
"Electricity issue in the colony","There are frequent power cuts in the colony and the transformer is damaged.",electricity,Electricity,emergency,accepted,0.93,24
"Traffic complaint at main road","The traffic signal at the junction is not working and traffic is blocked.",traffic,Traffic,high,accepted,0.87,24
"Illegal Parking issue in the area","Vehicles are parked on the footpath near the market blocking pedestrians.",illegal_parking,Illegal Parking,medium,accepted,0.83,12
"Public Transport complaint at near station","The bus stop shelter in the colony is damaged and passengers are exposed to rain.",public_transport,Public Transport,medium,accepted,0.79,18
"Healthcare issue in the locality","The public clinic near the ward has poor hygiene and patients are waiting long.",healthcare,Healthcare,high,needs_review,0.76,24
"Education complaint at near school","The school building near the road has broken windows and unsafe classrooms.",education,Education,medium,accepted,0.81,24
"Government Office issue in the neighborhood","The government office counter is slow and citizens are waiting for hours for service.",government_office,Government Office,medium,needs_review,0.74,36
"Environment complaint at near garden","Smoke from burning waste is polluting the air near the garden.",environment,Environment,high,accepted,0.86,36
"Other civic issue in the area","There is a general civic issue in the neighborhood that needs attention.",others,Others,low,rejected,0.62,48
"Road Damage request for correction","The road surface is cracked near the junction and needs urgent repair.",road_damage,Road Damage,high,accepted,0.9,24
"Garbage issue in the locality","The trash bins are overflowing and waste is scattered around the street.",garbage,Garbage Collection,medium,accepted,0.84,18
"Street Light complaint at near colony","Several lamps are broken and pedestrians are struggling to walk safely after sunset.",street_light,Street Light,medium,accepted,0.86,12
